"claim_id","claim","source_script","repository_path","reproducible","notes"
"C01","1,254,749 cells","04_download...R","results/final_tables/GSE243013_bpcells_matrix_validation.csv","YES","File present"
"C02","31,831 genes","04_download...R","results/final_tables/GSE243013_bpcells_matrix_validation.csv","YES","File present"
"C03","243 total patients","02_build...R","results/final_tables/GSE243013_patient_manifest_revised.csv","YES","File present"
"C04","234 anti-PD1 patients","03_repair...R","results/final_tables/GSE243013_patient_manifest_revised.csv","YES","File present"
"C05","233 primary analysis patients","03_repair...R","results/final_tables/GSE243013_patient_manifest_revised.csv","YES","File present"
"C06","213 strict chemoimmunotherapy patients","03_repair...R","results/final_tables/GSE243013_patient_manifest_revised.csv","YES","File present"
"C07","212 strict + evaluable","03_repair...R","results/final_tables/GSE243013_patient_manifest_revised.csv","YES","File present"
"C08","Primary NES=-2.3589","07_pathway...R","results/final_tables/GSE243013_glycolysis_fgsea_exact_statistics.csv","YES","File present"
"C09","Primary FDR=3.00e-11","07_pathway...R","results/final_tables/GSE243013_glycolysis_fgsea_exact_statistics.csv","YES","File present"
"C10","Strict NES=-2.4126","07_pathway...R","results/final_tables/GSE243013_glycolysis_fgsea_exact_statistics.csv","YES","File present"
"C11","Strict FDR=7.51e-12","07_pathway...R","results/final_tables/GSE243013_glycolysis_fgsea_exact_statistics.csv","YES","File present"
"C12","LE 70 genes (primary)","07_pathway...R","results/final_tables/GSE243013_glycolysis_fgsea_across_celltypes.csv","YES","File present"
"C13","LE 65 genes (strict)","07_pathway...R","results/final_tables/GSE243013_glycolysis_fgsea_across_celltypes.csv","YES","File present"
"C14","LUAD HR=1.465","08B1_QC2...R","results/final_tables/GSE243013_canonical_fixed_effect_meta.csv","YES","File present"
"C15","LUSC HR=1.023","08B1_QC2...R","results/final_tables/GSE243013_canonical_fixed_effect_meta.csv","YES","File present"
"C16","Meta-FDR=0.0499","08B1_QC2...R","results/final_tables/GSE243013_canonical_fixed_effect_meta.csv","YES","File present"
"C17","I-squared=90.44%","08B1_QC2...R","results/final_tables/GSE243013_canonical_fixed_effect_meta.csv","YES","File present"
"C18","cg02952918 methylation","08B2...R","results/final_tables/GSE243013_step08B2_omics_status.csv","YES","File present"
"C19","Cyclin B1 RPPA","08B2...R","results/final_tables/GSE243013_step08B2_omics_status.csv","YES","File present"
"C20","CNV NO_RESULT","08B2...R","results/final_tables/GSE243013_step08B2_omics_status.csv","YES","File present"
