"step","description","status"
"Step00","Environment setup","COMPLETE"
"Step01","Download metadata","COMPLETE"
"Step02","Build patient manifest","COMPLETE"
"Step03","Repair cohort definition","COMPLETE"
"Step04","Import counts to BPCells","COMPLETE"
"Step05","Build pseudobulk","COMPLETE"
"Step06","edgeR differential expression","COMPLETE"
"Step07","Pathway/TF integration","COMPLETE"
"Step08A","TCGA download/audit","COMPLETE"
"Step08B1","TCGA clinical validation","COMPLETE"
"Step08B1-QC","QC audit of clinical models","FAIL_FDR"
"Step08B1-QC2","QC2 reconciliation","PASS"
"Step08B2","Multi-omics integration","COMPLETE"
"Step09","Final audit & evidence chain","IN_PROGRESS"
