"package","version"
"AnnotationHub","4.2.2"
"BiocBaseUtils","1.14.2"
"BiocIO","1.22.0"
"bitops","1.1-0"
"BPCells","0.3.1"
"cigarillo","1.2.1"
"curatedTCGAData","1.34.0"
"decoupleR","2.17.0"
"edgeR","4.10.1"
"ExperimentHub","3.2.0"
"fastmatch","1.1-8"
"fgsea","1.38.0"
"GenomeInfoDb","1.48.0"
"GenomicAlignments","1.48.0"
"GenomicDataCommons","1.36.0"
"GenomicFeatures","1.64.0"
"locfit","1.5-9.12"
"msigdbr","26.1.0"
"MultiAssayExperiment","1.38.0"
"parallelly","1.48.0"
"pheatmap","1.0.13"
"RaggedExperiment","1.36.0"
"RCurl","1.98-1.19"
"remotes","2.5.0"
"restfulr","0.0.17"
"Rhtslib","3.8.0"
"Rsamtools","2.28.0"
"rtracklayer","1.72.0"
"TCGAutils","1.32.2"
"UCSC.utils","1.8.0"
"abind","1.4-8"
"admisc","0.40"
"annotate","1.90.0"
"AnnotationDbi","1.74.0"
"aplot","0.3.0"
"askpass","1.2.1"
"assertthat","0.2.1"
"assorthead","1.6.3"
"babelgene","22.9"
"backports","1.5.1"
"base","4.6.1"
"base64enc","0.1-6"
"beachmat","2.28.0"
"BH","1.90.0-1"
"Biobase","2.72.0"
"BiocFileCache","3.2.0"
"BiocGenerics","0.58.1"
"biocmake","1.4.0"
"BiocManager","1.30.27"
"BiocParallel","1.46.0"
"BiocSingular","1.28.0"
"BiocVersion","3.23.1"
"biomaRt","2.68.0"
"Biostrings","2.80.1"
"bit","4.6.0"
"bit64","4.8.2"
"blob","1.3.0"
"boot","1.3-32"
"broom","1.0.13"
"bslib","0.11.0"
"cachem","1.1.0"
"car","3.1-5"
"carData","3.0-6"
"cellranger","1.1.0"
"checkmate","2.3.4"
"class","7.3-23"
"cli","3.6.6"
"clipr","0.8.1"
"cluster","2.1.8.2"
"cmprsk","2.2-12"
"codetools","0.2-20"
"colorspace","2.1-2"
"commonmark","2.0.0"
"compiler","4.6.1"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"curl","7.1.0"
"data.table","1.18.4"
"datasets","4.6.1"
"DBI","1.3.0"
"dbplyr","2.6.0"
"DelayedArray","0.38.2"
"DelayedMatrixStats","1.34.0"
"Deriv","4.2.0"
"digest","0.6.39"
"dir.expiry","1.20.0"
"doBy","4.7.2"
"downloader","0.4.1"
"dplyr","1.2.1"
"e1071","1.7-17"
"evaluate","1.0.5"
"exactRankTests","0.8-37"
"farver","2.1.2"
"fastmap","1.2.0"
"filelock","1.0.3"
"flextable","0.10.0"
"fontawesome","0.5.3"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontquiver","0.2.1"
"forcats","1.0.1"
"foreach","1.5.2"
"forecast","9.0.2"
"foreign","0.8-91"
"formatR","1.14"
"Formula","1.2-5"
"fracdiff","1.5-4"
"fs","2.1.0"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"gdata","3.0.1"
"gdtools","0.5.1"
"generics","0.1.4"
"GenomicRanges","1.64.0"
"GEOquery","2.80.0"
"ggfun","0.2.1"
"ggplot2","4.0.3"
"ggplotify","0.1.3"
"ggpubr","0.6.3"
"ggrepel","0.9.8"
"ggsci","5.1.0"
"ggsignif","0.6.4"
"ggtext","0.1.2"
"ggvenn","0.1.19"
"ggVennDiagram","1.5.7"
"glmnet","5.0"
"glue","1.8.1"
"gmodels","2.19.1"
"graph","1.90.0"
"graphics","4.6.1"
"grDevices","4.6.1"
"grid","4.6.1"
"gridExtra","2.3.1"
"gridGraphics","0.5-1"
"gridtext","0.1.6"
"GSEABase","1.74.0"
"GSVA","2.6.2"
"gtable","0.3.6"
"gtools","3.9.5"
"h5mread","1.4.0"
"haven","2.5.5"
"HDF5Array","1.40.0"
"hexbin","1.28.6"
"highr","0.12"
"Hmisc","5.2-6"
"hms","1.1.4"
"htmlTable","2.5.0"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httr","1.4.8"
"httr2","1.2.3"
"IRanges","2.46.0"
"irlba","2.3.7"
"isoband","0.3.0"
"iterators","1.0.14"
"janitor","2.2.1"
"jpeg","0.1-11"
