program_id,gene,final_tier,pathway,multiomics_support,clinical_support
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,LAYN,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,ACTG2,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,CDH1,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,CD274,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,LIMA1,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,CLDN4,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,TUBG1,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,MAPK11,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,FSCN1,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,ITGB4,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,ITGA2,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION,NECTIN4,Tier_B,HALLMARK_HALLMARK_APICAL_JUNCTION,3,FALSE
