"cohort","program_id","n_complete","n_events","logHR","SE","HR","lower_95","upper_95","P_value","Wald_z","model_status","beta_orig"
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_ADIPOGENESIS",477,172,0.13679876541663,0.0741113006885281,1.14659739025478,0.991578942646443,1.32585063961755,0.0649131631843574,1.84585568119446,"COMPLETE",0.13679876541663
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_ALLOGRAFT_REJECTION",310,108,-0.150246972473355,0.0998984185403433,0.860495431494738,0.707481162737691,1.04660367882876,0.132582008554204,-1.50399750735472,"COMPLETE",-0.150246972473355
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_APICAL_JUNCTION",455,165,0.0230113037014574,0.0768567693208122,1.02327810631207,0.880183213399111,1.1896365062609,0.764631020972215,0.299405034908566,"COMPLETE",0.0230113037014574
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_APOPTOSIS",469,167,0.0524836234537404,0.0748411136523532,1.0538853029358,0.910098663547423,1.22038881742211,0.483136235508192,0.701267269986571,"COMPLETE",0.0524836234537404
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_DNA_REPAIR",477,172,0.225210274023823,0.0770715745288098,1.25258607481629,1.07697131507,1.45683719971846,0.00347688204135293,2.92209255358651,"COMPLETE",0.225210274023823
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_E2F_TARGETS",474,171,0.246598488257625,0.0803972300697649,1.27966520900825,1.09310559291124,1.49806483267999,0.002160373315363,3.0672510488687,"COMPLETE",0.246598488257625
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",475,170,0.111943491308587,0.0748607902933762,1.11844965673276,0.96581694416514,1.295203653449,0.134821698813375,1.49535545737476,"COMPLETE",0.111943491308587
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_ESTROGEN_RESPONSE_EARLY",477,172,0.0649559008648959,0.0839817284603671,1.06711196463185,0.905158454940042,1.25804265412942,0.439254467505732,0.773452774260893,"COMPLETE",0.0649559008648959
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_ESTROGEN_RESPONSE_LATE",476,171,0.22916914419642,0.0779217527482022,1.25755472910579,1.07944315958737,1.46505527655654,0.00327137329171612,2.94101629023877,"COMPLETE",0.22916914419642
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_FATTY_ACID_METABOLISM",477,172,0.0659809636510455,0.0746364211192187,1.068206382223,0.922836007440251,1.23647632496158,0.37667909060198,0.884031718852816,"COMPLETE",0.0659809636510455
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_G2M_CHECKPOINT",477,172,0.254612258693222,0.0804626203497562,1.28996135259127,1.10175947064627,1.51031176541921,0.0015542732841161,3.16435454856515,"COMPLETE",0.254612258693222
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_GLYCOLYSIS",477,172,0.381690688970041,0.0841123454566521,1.46475894895742,1.24213729542201,1.72727989607777,5.68259121393053e-06,4.53786762095165,"COMPLETE",0.381690688970041
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_HYPOXIA",477,172,0.270605388774426,0.0778506847070732,1.31075772860315,1.12526757360068,1.52682425353756,0.000509039837250441,3.47595386980379,"COMPLETE",0.270605388774426
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_IL2_STAT5_SIGNALING",304,107,0.0069220258505779,0.0987477149771224,1.00694603844481,0.829759035463995,1.22196960925253,0.944115589835073,0.0700980863423682,"COMPLETE",0.0069220258505779
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_IL6_JAK_STAT3_SIGNALING",438,157,-0.0966170043261554,0.0799274242328404,0.90790366272863,0.776256806605036,1.06187675751417,0.226736163094672,-1.20880918224883,"COMPLETE",-0.0966170043261554
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_INFLAMMATORY_RESPONSE",458,161,-0.014762501873991,0.0782765840192834,0.985345929627624,0.845200173989193,1.14872976948315,0.850410957753766,-0.188594099486434,"COMPLETE",-0.014762501873991
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_INTERFERON_ALPHA_RESPONSE",477,172,0.0485958841884849,0.0758253134324901,1.0497960258347,0.904820226961836,1.21800072878433,0.521592447603677,0.640892625280759,"COMPLETE",0.0485958841884849
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_INTERFERON_GAMMA_RESPONSE",477,172,0.0271670986926159,0.0755241911641353,1.02753948892403,0.88616014340095,1.19147471160926,0.719061122523561,0.359713864840659,"COMPLETE",0.0271670986926159
"LUAD","Tier 2_All_immune_Hallmark_HALLMARK_MITOTIC_SPINDLE",477,172,0.27401246581059,0.0807927225346745,1.31523119755953,1.12261595888696,1.5408948085407,0.000694987709048124,3.39154885754704,"COMPLETE",0.27401246581059
