"program_id","priority_tier","cell_type","collection","pathway","NES","direction","leading_edge_genes","top_supporting_TFs","n_leading_edge_genes","program_primary_eligible"
"Tier 2_All_immune_Hallmark_HALLMARK_E2F_TARGETS","Tier 2","All_immune","Hallmark","HALLMARK_E2F_TARGETS",-3.51953583325078,"Non_responder","RANBP1; CDKN3; MCM2; UBE2T; GINS1; CDK1; RACGAP1; MELK; MCM4; RAD51AP1; TOP2A; KIF18B; SMC4; TK1; CCNB2; DIAPH3; MKI67; CENPE; KIF4A; CDC25A; CDCA8; ASF1B; DSCC1; CHEK1; PLK4; KIF2C; BUB1B; DLGAP5; SPAG5; HMMR; NME1; PLK1; DEPDC1; CDCA3; CDC20; MAD2L1; ORC6; CKS1B; AK2; AURKB; PTTG1; BIRC5; CDKN2A; SPC24; TUBB; CDKN2C; CIT; PAICS; BRCA1; RFC2; E2F8; ESPL1; MCM7; SPC25; TIMELESS; BARD1; AURKA; HMGB3; RRM2; TCF19; DCTPP1; MTHFD2; HELLS; DNMT1; MCM3; TUBG1; PCNA; STMN1; JPT1; TRIP13; RNASEH2A; LMNB1; EZH2; NCAPD2; POP7; ATAD2; RPA3; CENPM; PSMC3IP; CDK4; HMGB2; GINS3; ANP32E; MCM5; SSRP1; TIPIN; MCM6; TACC3; CHEK2; TMPO; DONSON; NUDT21; RAD51C; POLD2; MMS22L; POLD1; DCLRE1B; SLBP; RAN; POLA2; ZW10; PA2G4; POLE; DUT",NA,104,TRUE
"Tier 2_T_NK_cell_Hallmark_HALLMARK_E2F_TARGETS","Tier 2","T/NK cell","Hallmark","HALLMARK_E2F_TARGETS",-3.37683491829123,"Non_responder","CDKN3; RANBP1; MCM2; UBE2T; SMC4; KIF18B; CCNB2; BARD1; CDK1; CKS1B; MELK; TIMELESS; TOP2A; RACGAP1; NME1; RAD51AP1; MCM4; MCM5; KIF4A; PTTG1; TK1; GINS1; PLK4; CHEK1; RFC2; ESPL1; HMMR; CDCA8; CENPE; DEPDC1; DIAPH3; SPAG5; MKI67; PLK1; HELLS; TUBB; CDC25A; CDCA3; BUB1B; DLGAP5; CDKN2A; MAD2L1; ASF1B; AURKB; KIF2C; MCM7; CIT; ORC6; CENPM; CDKN2C; STMN1; DSCC1; TMPO; MXD3; BRCA1; SPC25; DCTPP1; WEE1; TUBG1; E2F8; TCF19; CDC20; PAICS; MCM3; AK2; BIRC5; SPC24; HMGB3; JPT1; CHEK2; PCNA; RNASEH2A; ATAD2; RPA3; EZH2; TIPIN; BRCA2; CDK4; GINS3; NCAPD2; RRM2; AURKA; MMS22L; PSMC3IP; PRDX4; ANP32E; EED; HMGB2; MYBL2; LMNB1; SSRP1; MTHFD2; MCM6; TRIP13; TACC3; SLBP; POP7; NUDT21; RAD51C; RAN; DUT; POLD1; ZW10; POLD2; POLD3; SNRPB; LIG1; TFRC; DONSON; DNMT1; CKS2; UBR7; DCLRE1B; DEK; RAD21; RFC3; SMC3; SMC1A",NA,118,TRUE
"Tier 2_Myeloid_cell_Hallmark_HALLMARK_INTERFERON_ALPHA_RESPONSE","Tier 2","Myeloid cell","Hallmark","HALLMARK_INTERFERON_ALPHA_RESPONSE",-3.25804827540851,"Non_responder","ISG15; PSME2; EPSTI1; RSAD2; LAP3; IFI44L; CXCL10; IFIH1; USP18; BST2; IFI35; CNP; PARP9; MX1; UBE2L6; TMEM140; GBP4; TAP1; IFIT3; NMI; PSMB8; CXCL11; IFITM3; PSMA3; IFI44; PSMB9; TRAFD1; RTP4; SAMD9L; EIF2AK2; CD47; IRF1; DDX60; TRIM21; PARP14; CMPK2; MOV10; CCRL2; NUB1; GBP2; IFITM1; PLSCR1; PROCR; PSME1; B2M; ADAR; PARP12; IFIT2; IFI27; HERC6; DHX58; ISG20; SP110",NA,53,TRUE
"Tier 2_CD8T_prf_MKI67_Hallmark_HALLMARK_E2F_TARGETS","Tier 2","CD8T_prf_MKI67","Hallmark","HALLMARK_E2F_TARGETS",-3.23982840753002,"Non_responder","CKS1B; CDKN3; CCNB2; CKS2; UBE2T; PTTG1; KIF22; CDK1; JPT1; SPAG5; CDC20; CDCA3; AURKA; PLK1; SMC4; MAD2L1; AURKB; HMGB2; MTHFD2; DLGAP5; TOP2A; POP7; RAD21; HMMR; KPNA2; CDCA8; CENPE; RAD51AP1; MXD3; ORC6; BARD1; HMGB3; EXOSC8; RACGAP1; KIF4A; MELK; BIRC5; RAN; SNRPB; STMN1; SPC25; MKI67; RANBP1; TK1; TUBB; TACC3; NCAPD2; NUP107; BUB1B; NAA38; KIF2C; CDKN2A; UBE2S; TUBG1; TMPO; DIAPH3; ASF1B; RAD51C; DEK; PHF5A; EZH2; RNASEH2A; ANP32E; DDX39A",NA,64,TRUE
"Tier 2_Myeloid_cell_Hallmark_HALLMARK_E2F_TARGETS","Tier 2","Myeloid cell","Hallmark","HALLMARK_E2F_TARGETS",-3.22351606383189,"Non_responder","AK2; CDK1; CDCA8; UBE2T; TUBB; RACGAP1; RAD51AP1; DNMT1; CENPM; TK1; MCM2; SLBP; AURKA; RFC2; KIF2C; CDKN3; ORC6; AURKB; CDCA3; MCM4; NME1; RANBP1; DCTPP1; CDC20; BIRC5; TIMELESS; TOP2A; MTHFD2; ANP32E; CKS2; RPA3; ASF1B; CKS1B; PCNA; MAD2L1; RAN; CCNB2; DLGAP5; HMMR; RNASEH2A; MKI67; KIF4A; LMNB1; TUBG1; PLK1; RRM2; DIAPH3; PTTG1; POP7; CHEK1; NBN; PAICS; SMC4; EZH2; BRCA1; POLD1; MCM3; MCM6; MCM7; BARD1; TCF19; NASP; CDKN2C; CENPE; MCM5; HELLS; SPAG5; CIT; TIPIN; LIG1; CDKN2A; JPT1; XPO1; NCAPD2; RPA1; CDK4; EIF2S1; PRDX4; HMGB2; DCLRE1B; HMGB3; POLA2; UNG; DCK; ATAD2; PPP1R8; SSRP1; PA2G4; KPNA2; CBX5; DUT; SMC3; MYBL2; PRIM2; UBE2S; ZW10; CNOT9; STMN1; DONSON; GINS3; NOLC1; NUDT21; CSE1L; EXOSC8; DEK; SNRPB; RPA2; DDX39A; MSH2; POLE4; SMC1A; TACC3",NA,112,TRUE
"Tier 2_Myeloid_cell_Hallmark_HALLMARK_INTERFERON_GAMMA_RESPONSE","Tier 2","Myeloid cell","Hallmark","HALLMARK_INTERFERON_GAMMA_RESPONSE",-3.21650255366252,"Non_responder","ISG15; PSMB2; PSME2; EPSTI1; RSAD2; LAP3; IFI44L; CXCL10; ITGB7; IFIH1; CD40; USP18; BST2; IFI35; MTHFD2; MX1; UBE2L6; GBP4; STAT1; TAP1; IFIT3; NMI; CXCL9; PSMB8; PML; VAMP8; CXCL11; IFIT1; IDO1; CD274; PSMA2; IFITM3; PSMA3; XAF1; FCGR1A; VAMP5; IFI44; PSMB9; CFB; ICAM1; TRAFD1; RTP4; IL18BP; IL15RA; SAMD9L; EIF2AK2; PFKP; IRF1; DDX60; PSMB10; OAS3; TRIM21; PARP14; CMPK2; LYSMD2; ZBP1; CFH; SOCS1; CMKLR1; PLSCR1; SPPL2A; PSME1; B2M; TNFAIP6; ADAR; LCP2; PARP12; IFIT2; APOL6; SOD2; CCL2; IFI27; OAS2; TNFSF10; STAT4; BPGM; SLAMF7; CD86; HERC6; DHX58; ISG20; SP110; TNFAIP3; CASP7; HLA-G; MVP; STAT2; NOD1; LY6E; CCL5; HLA-A; TAPBP; RNF213; PTPN2; CD38; RIPK2; CCL7; PNPT1; SERPING1; IRF7; CSF2RB; PTPN1; IFI30; ARID5B; IRF9",NA,105,TRUE
"Tier 2_All_immune_Hallmark_HALLMARK_G2M_CHECKPOINT","Tier 2","All_immune","Hallmark","HALLMARK_G2M_CHECKPOINT",-3.2128264544535,"Non_responder","CENPA; TPX2; CDKN3; MCM2; TROAP; CDK1; PRC1; RACGAP1; KIF23; CDC45; NUSAP1; TOP2A; UBE2C; BUB1; POLQ; KIF15; GINS2; TTK; SMC4; CCNB2; UCK2; CENPF; MKI67; CENPE; CCNA2; KIF4A; KNL1; NEK2; CDC6; CDC25A; EXO1; CHEK1; PLK4; KIF2C; HMMR; STIL; PLK1; KIF11; CDC20; MAD2L1; ORC6; RAD54L; CKS1B; AURKB; PTTG1; BIRC5; CDKN2C; ESPL1; NDC80; SMC2; FBXO5; BARD1; AURKA; CCNF; DTYMK; HMGB3; NSD2; MCM3; STMN1; CHAF1A; TRAIP; E2F1; JPT1; LMNB1; E2F2; PBK; EZH2; INCENP; PML; CDK4; SNRPD1; MCM5; MCM6; TACC3; TFDP1; CBX1",NA,76,TRUE
"Tier 2_CD8T_Trm_ZNF683_Hallmark_HALLMARK_INTERFERON_ALPHA_RESPONSE","Tier 2","CD8T_Trm_ZNF683","Hallmark","HALLMARK_INTERFERON_ALPHA_RESPONSE",-3.21161969322619,"Non_responder","EPSTI1; PLSCR1; ISG15; PSME2; MX1; GBP2; PARP9; UBE2L6; IRF7; LY6E; BST2; IFI35; IFI44; LAP3; CASP1; GBP4; CSF1; CD74; EIF2AK2; TMEM140; IFITM2; TRAFD1; PSMB8; SP110; DDX60; UBA7; ADAR; PSMB9; PARP14; IFITM1; TAP1; PARP12; PSME1; IFITM3; ISG20; SAMD9L; STAT2; TRIM21; IFIH1",NA,39,TRUE
"Tier 2_All_immune_Hallmark_HALLMARK_INTERFERON_ALPHA_RESPONSE","Tier 2","All_immune","Hallmark","HALLMARK_INTERFERON_ALPHA_RESPONSE",-3.19022773356411,"Non_responder","USP18; ISG15; EPSTI1; RSAD2; MX1; GBP2; IFI44L; PARP9; PSME2; CNP; TMEM140; IFI35; BST2; GBP4; EIF2AK2; UBE2L6; HERC6; CMPK2; RTP4; PSMB8; LAP3; MOV10; IFI44; OAS1; CXCL10; TAP1; IRF7; TRAFD1; NMI; STAT2; ADAR; PSMB9; SAMD9L; CASP1; LY6E; HELZ2; CXCL11; LAMP3; IFI27; IRF9; CCRL2; PSME1; PARP12; PNPT1; PLSCR1; BATF2; DDX60; TRIM21; CSF1; IFITM3; IFIT3; MVB12A; IFIH1; DHX58; IFITM1",NA,55,TRUE
"Tier 2_CD8T_Trm_ZNF683_Hallmark_HALLMARK_INTERFERON_GAMMA_RESPONSE","Tier 2","CD8T_Trm_ZNF683","Hallmark","HALLMARK_INTERFERON_GAMMA_RESPONSE",-3.17894559821925,"Non_responder","XAF1; EPSTI1; PLSCR1; ISG15; PSME2; MX1; TNFSF10; UBE2L6; IRF7; LY6E; CD38; BST2; IFI35; GZMA; IFI44; LAP3; CASP1; VAMP5; GBP4; MTHFD2; PELI1; CD74; EIF2AK2; HLA-DMA; STAT1; GPR18; CASP4; HLA-DRB1; IFITM2; TRAFD1; PSMB2; PSMB8; OAS2; SP110; DDX60; ADAR; PSMB9; PARP14; UPP1; PSMB10; VAMP8; TAP1; PARP12; CASP3; PSME1; IFITM3; PIM1; ISG20; PTPN6; SAMD9L; ZBP1; RBCK1; CASP7; NAMPT; APOL6; ARID5B; STAT2; IRF4; TRIM21; MX2; IFIH1; PSMA2; MYD88; RNF213; PML; HLA-DQA1",NA,66,TRUE
